strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	originating_lab	pango_lineage	recency	region	submitting_lab	author	mlr_lineage_fitness	ace2_binding	immune_escape
Denmark/DCGC-693356/2025	2025-11-03	NB.1.8.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202545	OZ372643	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	NB.1.8.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.02	-1.21	1.58
IGS-10285-CVDP-3808FEEA-0769-4F67-B5D7-D5B79049D6AC	2026-02-10	NB.1.8.1	57.00	25B (NB.1.8.1)	Germany		21L	202606				NB.1.8.1	One week ago	Europe		?	1.02	-1.21	1.58
USA/CA-LACPHL-AY15040/2025	2025-09-25	NB.1.8.1	57.00	25B (NB.1.8.1)	USA	California	21L	202539	PX470578	Homo sapiens	Los Angeles County Public Health Laboratory	NB.1.8.1	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	1.02	-1.21	1.58
IGS-10285-CVDP-CAD58D5F-D0B7-4F2E-AC80-772A49358BE8	2025-09-30	NB.1.8.1	57.00	25B (NB.1.8.1)	Germany		21L	202540				NB.1.8.1	Older	Europe		?	1.02	-1.21	1.58
IGS-10285-CVDP-827E695F-10AF-40B6-8C48-4D4F4BE23170	2025-09-25	NB.1.8.1	57.00	25B (NB.1.8.1)	Germany		21L	202539				NB.1.8.1	Older	Europe		?	1.02	-1.21	1.58
Denmark/DCGC-693153/2025	2025-10-20	PQ.4.6.1	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202543	OZ368830	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.4.6.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-2.05	1.47
OZ392153	2025-12-15	PQ.4.6.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202551	OZ392153	Homo sapiens		PQ.4.6.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.32	1.55
Denmark/DCGC-693618/2026	2026-01-05	PQ.4.6.1	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202601	OZ408042	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.4.6.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.32	1.55
IGS-10285-CVDP-2197BBD4-D020-4F31-AEE6-4B2BC0DA3E5F	2026-01-16	PQ.4.6.2	57.00	25B (NB.1.8.1)	Germany		21L	202602				PQ.4.6.2	Older	Europe		?		-1.21	1.58
IGS-10285-CVDP-6987E544-5EB5-49A5-892E-6C97A49D29B1	2026-01-13	RJ.1	58.00	25B (NB.1.8.1)	Germany		21L	202602				RJ.1	One month ago	Europe		?		-1.15	1.55
IGS-10285-CVDP-043FC730-DD65-4E56-A518-42E70DBE8D38	2026-02-04	RJ.1	58.00	25B (NB.1.8.1)	Germany		21L	202605				RJ.1	One week ago	Europe		?		-1.21	1.58
OZ405725	2026-01-08	PQ.4.6.2	58.00	25B (NB.1.8.1)	United Kingdom	Wales	21L	202601	OZ405725	Homo sapiens		PQ.4.6.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		-1.21	1.58
OZ405731	2026-01-10	PQ.4.6.2	58.00	25B (NB.1.8.1)	United Kingdom	Wales	21L	202601	OZ405731	Homo sapiens		PQ.4.6.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		-1.21	1.58
Denmark/DCGC-693025/2025	2025-09-22	PQ.17.2	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202539	OZ352263	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.17.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.55
IGS-10285-CVDP-0BE3B23B-AEA4-4FFB-9BD2-146403D96331	2025-12-18	PQ.4.1	58.00	25B (NB.1.8.1)	Germany		21L	202551				PQ.4.1	Older	Europe		?		-1.10	1.78
IGS-10285-CVDP-B5829F1A-DDC8-474B-96D3-6AA49C3FAE83	2025-12-29	PQ.4.1	58.00	25B (NB.1.8.1)	Germany		21L	202553				PQ.4.1	Older	Europe		?		-1.10	1.78
Denmark/DCGC-692825/2025	2025-09-22	PQ.4.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202539	OZ345995	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
Denmark/DCGC-693261/2025	2025-10-13	PQ.4.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202542	OZ368708	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
OZ404256	2026-01-05	PQ.4.1	59.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202601	OZ404256	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.4.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.21	1.58
OZ336397	2025-09-17	PQ.4.1	57.00	25B (NB.1.8.1)	United Kingdom	Northern Ireland	21L	202538	OZ336397	Homo sapiens	Regional Virus Laboratory, Belfast Health and Social Care Trust; and: Genomics Core Technology Unit, Queens University Belfast.	PQ.4.1	Older	Europe	Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl	?		-1.21	1.58
OZ336349	2025-09-17	PQ.4.1	57.00	25B (NB.1.8.1)	United Kingdom	Northern Ireland	21L	202538	OZ336349	Homo sapiens	Regional Virus Laboratory, Belfast Health and Social Care Trust; and: Genomics Core Technology Unit, Queens University Belfast.	PQ.4.1	Older	Europe	Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl	?		-1.21	1.58
OZ392202	2025-12-22	PQ.4.1	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202552	OZ392202	Homo sapiens		PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.10	1.78
OZ409731	2026-01-22	PQ.4.1	58.00	25B (NB.1.8.1)	United Kingdom	England	21L	202603	OZ409731	Homo sapiens	Respiratory Virus Unit, Microbiology Services Colindale, Public Health England	PQ.4.1	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?		-1.83	1.67
OZ392183	2025-12-22	PQ.4.1	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202552	OZ392183	Homo sapiens		PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.10	1.78
IGS-10285-CVDP-EDC7DE66-6339-4A55-A942-C05977C0D1A4	2025-12-29	PQ.4.1	57.00	25B (NB.1.8.1)	Germany		21L	202553				PQ.4.1	Older	Europe		?		-1.21	1.58
IGS-10285-CVDP-29F34D92-C99C-41D4-AF6A-F3FA51E1DF69	2026-01-12	PQ.4.1	57.00	25B (NB.1.8.1)	Germany		21L	202602				PQ.4.1	Older	Europe		?		-1.21	1.58
IGS-10285-CVDP-3987C6E6-52CF-418E-8D6D-AD4164512061	2025-12-15	PQ.4.1	57.00	25B (NB.1.8.1)	Germany		21L	202551				PQ.4.1	Older	Europe		?		-1.21	1.58
OZ351614	2025-10-08	PQ.4.1	57.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202541	OZ351614	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.4.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.94	1.49
OZ336531	2025-09-16	PQ.4.1	57.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202538	OZ336531	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.4.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.21	1.58
Denmark/DCGC-692871/2025	2025-09-22	PQ.4.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202539	OZ346027	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
IGS-10285-CVDP-CC7FCB99-EFCA-46DA-A235-52DD6DB6DD6D	2026-01-22	PQ.4.1	57.00	25B (NB.1.8.1)	Germany		21L	202603				PQ.4.1	Older	Europe		?		-1.21	1.58
OZ336668	2025-09-18	PQ.4.1	57.00	25B (NB.1.8.1)	United Kingdom	Wales	21L	202538	OZ336668	Homo sapiens	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	PQ.4.1	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		-1.21	1.58
OZ346352	2025-09-29	PQ.4.1	56.00	25B (NB.1.8.1)	United Kingdom	Wales	21L	202540	OZ346352	Homo sapiens	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	PQ.4.1	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		0.00	0.00
IRL/GIRL00093378/2025	2025-12-16	PQ.4.1	57.00	25B (NB.1.8.1)	Ireland	Dublin	21L	202551	PX971381	Homo sapiens		PQ.4.1	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
OZ404234	2025-12-11	PQ.4.1	57.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202550	OZ404234	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.4.1	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.21	1.58
IGS-10285-CVDP-E3902AA2-391B-4886-B63E-FB5180054806	2026-01-28	PQ.4.1	57.00	25B (NB.1.8.1)	Germany		21L	202604				PQ.4.1	One month ago	Europe		?		-1.09	1.55
Denmark/DCGC-693064/2025	2025-09-29	PQ.4.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202540	OZ352451	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
Denmark/DCGC-693469/2025	2025-11-17	PQ.4.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202547	OZ377002	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
Denmark/DCGC-693449/2025	2025-11-17	PQ.4.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202547	OZ377025	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
OZ392181	2025-12-22	PQ.4.1	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202552	OZ392181	Homo sapiens		PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
OZ392106	2025-12-22	PQ.4.1	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202552	OZ392106	Homo sapiens		PQ.4.1	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
OZ392147	2025-12-15	PQ.2	56.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202551	OZ392147	Homo sapiens		PQ.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.04	-1.21	1.58
IGS-10285-CVDP-37D9B083-028B-4332-AF23-C4686DB61C85	2025-10-23	PQ.2	57.00	25B (NB.1.8.1)	Germany		21L	202543				PQ.2	Older	Europe		?	1.04	-1.21	1.58
OZ405722	2026-01-02	PQ.2	56.00	25B (NB.1.8.1)	United Kingdom	Wales	21L	202553	OZ405722	Homo sapiens		PQ.2	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?	1.04	-1.21	1.58
IGS-10285-CVDP-4EAC2236-36AB-4D57-BEB6-2FF0695A1F75	2025-11-06	PQ.2	58.00	25B (NB.1.8.1)	Germany		21L	202545				PQ.2	Older	Europe		?	1.04	-1.21	1.58
OZ367340	2025-10-19	PQ.2	57.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202543	OZ367340	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.2	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?	1.04	-1.94	1.49
IGS-10285-CVDP-D5073F0D-8419-44EA-BDC7-C3B46D4F6AA1	2025-09-25	PQ.2	57.00	25B (NB.1.8.1)	Germany		21L	202539				PQ.2	Older	Europe		?	1.04	-1.21	1.58
USA/CO-CDPHE-44973803/2025	2025-09-25	PQ.2	57.00	25B (NB.1.8.1)	USA	Colorado	21L	202539	PX474419	Homo sapiens	Colorado Department of Public Health and Environment	PQ.2	Older	North America	CDPHE SARS-CoV-2 submissions, Genomic Surveillance Program	Matzinger et al	1.04	-1.30	1.58
IGS-10285-CVDP-A7A0A629-66E6-49E6-95AC-DB79B096E060	2025-12-29	PQ.2	60.00	25B (NB.1.8.1)	Germany		21L	202553				PQ.2	Older	Europe		?	1.04	-1.21	1.58
Japan/FR057-0046/2025	2025-10-23	PQ.2.3	58.00	25B (NB.1.8.1)	Japan	Shizuoka	21L	202543	BS016495	Homo sapiens		PQ.2.3	Older	Asia	Mishima, Shizuoka 411-8540	Suzuki et al		-1.21	1.58
OZ378151	2025-11-18	PQ.2.3	59.00	25B (NB.1.8.1)	United Kingdom	Wales	21L	202547	OZ378151	Homo sapiens	Originating lab: Wales Specialist Virology Centre Sequencing lab: Pathogen Genomics Unit	PQ.2.3	Older	Europe	Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw	?		-1.21	1.58
IGS-10285-CVDP-FAA69E7B-A361-459B-A6F4-7AF2F474D3CE	2026-01-19	PQ.2.3	59.00	25B (NB.1.8.1)	Germany		21L	202603				PQ.2.3	Older	Europe		?		-1.09	1.55
IGS-10285-CVDP-5C56315F-7D4E-401D-963F-7F912E215FEA	2025-10-07	PQ.2.9	57.00	25B (NB.1.8.1)	Germany		21L	202541				PQ.2.9	Older	Europe		?		-1.21	1.58
Japan/BRL25-0347/2025	2025-09-26	PQ.2.9	57.00	25B (NB.1.8.1)	Japan	Tokyo	21L	202539	LC911022	Homo sapiens		PQ.2.9	Older	Asia	Department of Academic-Industrial Partnerships Promotion, Center for Clinical Sciences; 1-21-1, Toyama, Shinjuku-ku, Tokyo 162-8655	Takeuchi et al		-1.21	1.58
IGS-10285-CVDP-0A4B60EA-1FF8-4B64-A617-DBC9E5A3C823	2025-11-10	PQ.2.9	58.00	25B (NB.1.8.1)	Germany		21L	202546				PQ.2.9	Older	Europe		?		-1.21	1.58
IGS-10285-CVDP-839AB0E1-EADB-4583-ADD4-B72B78ECDABC	2025-09-16	PQ.2.4	57.00	25B (NB.1.8.1)	Germany		21L	202538				PQ.2.4	Older	Europe		?		-1.21	1.58
Denmark/DCGC-693073/2025	2025-09-29	PQ.2.4	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202540	OZ352333	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.2.4	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.94	1.49
IGS-10285-CVDP-68C8C06C-363C-4E70-AB17-81C00344B04D	2025-10-06	PQ.2.4	57.00	25B (NB.1.8.1)	Germany		21L	202541				PQ.2.4	Older	Europe		?		-1.21	1.58
IGS-10285-CVDP-3D5ECE0D-AE46-40E9-BC0A-2729EC3E3310	2025-11-26	PQ.2.4	57.00	25B (NB.1.8.1)	Germany		21L	202548				PQ.2.4	Older	Europe		?		-1.21	1.58
IGS-10285-CVDP-8E0BC977-0291-4D00-8837-62B1EC1FFCB4	2026-01-03	PQ.2.4	57.00	25B (NB.1.8.1)	Germany		21L	202553				PQ.2.4	Older	Europe		?		-1.21	1.58
USA/CA-CDPH-6000023662/2025	2025-11-20	PQ.2.4	57.00	25B (NB.1.8.1)	USA	California	21L	202547	PX886084	Homo sapiens		PQ.2.4	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al		-1.21	1.58
IGS-10285-CVDP-AB9E4776-BF31-4A36-A2EC-D022650790DA	2026-01-26	PQ.2.4.2	57.00	25B (NB.1.8.1)	Germany		21L	202604				PQ.2.4.2	One month ago	Europe		?		-1.23	1.55
IGS-10285-CVDP-EA3ABE13-A5E4-4816-B121-3B7FA82F6A02	2025-11-18	PQ.2.4.2	57.00	25B (NB.1.8.1)	Germany		21L	202547				PQ.2.4.2	Older	Europe		?		-1.11	1.53
OZ404272	2025-12-16	PQ.2.4.2	58.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202551	OZ404272	Homo sapiens	West of Scotland Specialist Virology Centre, NHSGGC / Edinburgh Specialist Virology Centre, NHS Lothian	PQ.2.4.2	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.96	1.47
IGS-10285-CVDP-A96DC824-2ADE-4B7E-A753-83C86CA8FA14	2025-12-03	PQ.2.4.2	57.00	25B (NB.1.8.1)	Germany		21L	202549				PQ.2.4.2	Older	Europe		?		-1.23	1.55
IGS-10285-CVDP-69F6A876-0E63-4F22-BAF1-C4857A71BEAF	2026-01-06	PQ.2.4.2	56.00	25B (NB.1.8.1)	Germany		21L	202601				PQ.2.4.2	Older	Europe		?		-1.23	1.55
IGS-10285-CVDP-7101947F-023A-419E-89AF-E7C1CB14BE6E	2026-02-17	PQ.2.4.2	56.00	25B (NB.1.8.1)	Germany		21L	202607				PQ.2.4.2	One week ago	Europe		?		-1.23	1.55
USA/CA-CDPH-500150731/2025	2025-09-29	PQ.2.5	58.00	25B (NB.1.8.1)	USA	California	21L	202540	PX494816	Homo sapiens	TPMG Kaiser Regional	PQ.2.5	Older	North America	California Department of Public Health, IDLB VRDL/COVIDNet	Diaz-Cuevas et al		-1.10	1.78
IGS-10285-CVDP-8FD4A418-718D-4A26-B00C-1BA4DFA580F8	2025-11-10	PQ.2.5.5	59.00	25B (NB.1.8.1)	Germany		21L	202546				PQ.2.5.5	Older	Europe		?		-1.10	1.78
Denmark/DCGC-692826/2025	2025-09-15	PQ.2.5	57.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202538	OZ345994	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.2.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
OZ392126	2025-12-22	PQ.2.5	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202552	OZ392126	Homo sapiens		PQ.2.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
IGS-10285-CVDP-152DE08A-AB22-452E-9BC7-60A9AEFA8AB6	2025-10-29	PQ.2.5	57.00	25B (NB.1.8.1)	Germany		21L	202544				PQ.2.5	Older	Europe		?		-1.21	1.58
OZ390390	2025-12-03	PQ.2.5	57.00	25B (NB.1.8.1)	United Kingdom	Scotland	21L	202549	OZ390390	Homo sapiens		PQ.2.5	Older	Europe	New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade, Glasgow G31 2ER, Scotland, United Kingdom / Royal Infirmary of Edinburgh, 51 Little France Crescent, Edinburgh EH16 4SA, Scotland	?		-1.21	1.58
IGS-10285-CVDP-E8D8CCC4-530C-46E5-BEF9-274DDA9C9E96	2025-11-20	PQ.2.5	57.00	25B (NB.1.8.1)	Germany		21L	202547				PQ.2.5	Older	Europe		?		-1.21	1.58
IGS-10285-CVDP-4A110008-0287-4338-BBCC-EF60513ED3BB	2026-01-20	PQ.2.5.1	58.00	25B (NB.1.8.1)	Germany		21L	202603				PQ.2.5.1	Older	Europe		?		-1.20	1.58
IGS-10285-CVDP-982D13F6-3CD9-40F5-B2FB-13188B2F4CA1	2025-11-01	PQ.2.5	57.00	25B (NB.1.8.1)	Germany		21L	202544				PQ.2.5	Older	Europe		?		-1.21	1.58
Denmark/DCGC-693456/2025	2025-11-10	PQ.2.5	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202546	OZ377043	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.2.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
Denmark/DCGC-693624/2026	2026-01-05	PQ.2.5	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202601	OZ407538	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.2.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.23	1.57
OZ392119	2025-12-22	PQ.2.5	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202552	OZ392119	Homo sapiens		PQ.2.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
Denmark/DCGC-693610/2026	2026-01-05	PQ.2.5	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202601	OZ407554	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.2.5	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al		-1.21	1.58
IRL/GIRL00072915/2025	2025-10-06	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202541	PX580417	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
IRL/GIRL00072195/2025	2025-10-02	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202540	PX580407	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
IRL/GIRL00072194/2025	2025-10-02	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202540	PX580406	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
IRL/GIRL00070968/2025	2025-09-29	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202540	PX580394	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
IRL/GIRL00070994/2025	2025-09-29	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202540	PX580396	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
IRL/GIRL00070993/2025	2025-09-29	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202540	PX580395	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
IRL/GIRL00074048/2025	2025-10-09	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202541	PX580431	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
IRL/GIRL00075481/2025	2025-10-15	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202542	PX580439	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
IRL/GIRL00075482/2025	2025-10-15	PQ.2.5	57.00	25B (NB.1.8.1)	Ireland	Mayo	21L	202542	PX580440	Homo sapiens		PQ.2.5	Older	Europe	University College Dublin, UCD, National Virus Reference Laboratory	Fahey et al		-1.21	1.58
Denmark/DCGC-693253/2025	2025-10-27	PQ.2	58.00	25B (NB.1.8.1)	Denmark	Denmark	21L	202544	OZ368725	Homo sapiens	Department of Bacteria, Parasites and Fungi, Statens Serum Institut, Copenhagen, Denmark	PQ.2	Older	Europe	Artillerivej 5, 2300 Copenhagen S	Danish Covid-19 Genome et al	1.04	-1.94	1.49
OZ414378	2026-01-16	NB.1.8.1	58.00	25B (NB.1.8.1)	Slovakia	Slovakia	21L	202602	OZ414378	Homo sapiens	Public Health Authority of the Slovak Republic	NB.1.8.1	One month ago	Europe	Science Park of Comenius University of Bratislava, Ilkovicova 8, 841 04 Bratislava	Sladecek et al	1.02	-1.21	1.58
IGS-10285-CVDP-99923E6B-9127-4A7C-A931-D86A1B040E10	2025-10-22	PQ.2	59.00	25B (NB.1.8.1)	Germany		21L	202543				PQ.2	Older	Europe		?	1.04	-1.21	1.58
IGS-10285-CVDP-01A7A0EC-B2FA-47D9-AF17-CB48694CF279	2025-12-08	PQ.2	59.00	25B (NB.1.8.1)	Germany		21L	202550				PQ.2	Older	Europe		?	1.04	-1.21	1.58
OZ405687	2025-12-31	PQ.2	57.00	25B (NB.1.8.1)	United Kingdom	England	21L	202553	OZ405687	Homo sapiens		PQ.2	Older	Europe	61 Colindale Avenue, London, NW9 5EQ	?	1.04	-1.94	1.49
USA/CA-LACPHL-AY15263/2025	2025-10-01	PQ.2	58.00	25B (NB.1.8.1)	USA	California	21L	202540	PX487235	Homo sapiens	Los Angeles County Public Health Laboratory	PQ.2	Older	North America	Los Angeles County Public Health Lab microbial pathogen submission group, Los Angeles County Public Health Laboratories	Fox et al	1.04	-1.21	1.58
