strain	date	Nextclade_pango	S1_mutations	clade_membership	country	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	submitting_lab	author	originating_lab	mlr_lineage_fitness	ace2_binding	immune_escape
WestBank/AAS41/2020	2020-11-30	B.1.1.50	2.00	20B	Palestine	Bethlehem	20B	202049	MW600631	Homo sapiens	B.1.1.50	Older	Asia	Al-Quds University, Faculty of Medicine	Ereqat et al				
Japan/Donner406/2021	2021-02-10	B.1.1.214	3.00	20B	Japan	Kanto	20B	202106	BS001072	Homo sapiens	B.1.1.214	Older	Asia	Center for Medical Genetics; 35 Shinanomachi, Shinjuku-ku, Tokyo 160-8582	Kosaki et al				
Japan/Donner280/2020	2020-09-16	B.1.1.214	3.00	20B	Japan	Kanto	20B	202038	BS000952	Homo sapiens	B.1.1.214	Older	Asia	Center for Medical Genetics; 35 Shinanomachi, Shinjuku-ku, Tokyo 160-8582	Kosaki et al				
OZ061091	2021-04-05	N.5	4.00	20B	Argentina	Salta	20B	202114	OZ061091	Homo sapiens	N.5	Older	South America	ANLIS Malbran, Avenida Velez Sarsfield 563, CABA	Poklepovich Caride J et al	"ANLIS ""Carlos G. Malbran"""			
BGD/BSMMU-8/2020	2020-11-10	B.1.1.25	1.00	20B	Bangladesh	Bangladesh	20B	202046	MZ148597	Homo sapiens	B.1.1.25	Older	Asia	Bangabandhu Sheikh Mujib Medical University, Department of Virology	Jahan et al				
BGD/NGRI-R4-O24/2020	2020-09-10	B.1.1.25	1.00	20B	Bangladesh	Bangladesh	20B	202037	OM967326	Homo sapiens	B.1.1.25	Older	Asia	North South University, NGRI	Hossain et al				
CAN/Quebec-21697/2020	2020-03-28	B.1.1	1.00	20B	Canada	Quebec	20B	202013	OK350745	Homo sapiens	B.1.1	Older	North America	CHU de Quebec - Universite Laval, Infectiologie	Boivin et al				
NGA/CV529/2020	2020-09-05	B.1.1.10	1.00	20B	Nigeria	Nigeria	20B	202036	OQ050578	Homo sapiens	L.3	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
NGA/CV532/2020	2020-11-15	B.1.1.10	1.00	20B	Nigeria	Nigeria	20B	202047	OQ050581	Homo sapiens	L.3	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
SAU/KAIMRC-S88/2020	2020-12-19	B.1.1	6.00	20B	Saudi Arabia	Riyadh	20B	202051	MZ895788	Homo sapiens	B.1.1	Older	Asia	King Abdullah International Medical Research Center (KAIMRC), Infectious Diseases Research	Alghoribi et al				
SAU/KAIMRC-S593/2021	2021-01-31	B.1.1	4.00	20B	Saudi Arabia	Riyadh	20B	202105	MZ895772	Homo sapiens	B.1.1	Older	Asia	King Abdullah International Medical Research Center (KAIMRC), Infectious Diseases Research	Alghoribi et al				
ISR/hCov-19-Israel-CVL-n2361/2020	2020-03-06	B.1.1	1.00	20B	Israel	Israel	20B	202010	MW672652	Homo sapiens	B.1.1	Older	Asia	Chaim Sheba Medical Center, Central Virology Laboratory	Zuckerman et al				
NGA/CV304/2020	2020-10-05	B.1.1	2.00	20B	Nigeria	Nigeria	20B	202041	OQ050480	Homo sapiens	B.1.1	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
GHA/nmimr-SARS-CoV-2-NTRA-9791/2020	2020-11-13	B.1.1.359	1.00	20B	Ghana	Ghana	20B	202046	MW598434	Homo sapiens	B.1.1	Older	Africa	Noguchi Memorial Institute for Medical Research, University of Ghana, Immunology	Adu et al				
NGA/CV297/2020	2020-08-04	B.1.1.487	1.00	20B	Nigeria	Nigeria	20B	202032	OQ050473	Homo sapiens	B.1.1.254	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
SouthAfrica/NHLS-UCT-GS-3519/2020	2020-10-10	B.1.1.507	1.00	20B	South Africa	South Africa	20B	202041	OM739137	Homo sapiens	B.1.1.507	Older	Africa	University of Cape Town and National Health Laboratory Service, Department of Pathology, Faculty of Health Sciences	Viana et al				
BGD/BCSIR_NILMRC_82/2020	2020-06-01	B.1.1.25	3.00	20B	Bangladesh	Dhaka	20B	202023	MT601292	Homo sapiens	B.1.1.25	Older	Asia	Bangladesh Council of Scientific and Industrial Research, Genomic Research Lab	Mohammad Mahmud et al				
Bangladesh/ECHD_00508/2020	2020-05-11	B.1.1.25	1.00	20B	Bangladesh	Dhaka	20B	202020	LC647135	Homo sapiens	B.1.1.25	Older	Asia	International Institute for Zoonosis Control; North 20, West 10 Kita-ku, Sapporo, Hokkaido 001-0020	Yamagishi et al				
AUS/VIC3393/2020	2020-07-07	D.2	2.00	20F	Australia	Victoria	20F	202028	MT969977	Homo sapiens	D.2	Older	Oceania	The Peter Doherty Institute for Infection and Immunity, MDU-PHL	Sait et al	Microbiological Diagnostic Unit - Public Health Laboratory (MDU-PHL)			
BGD/BCSIR_NILMRC_226/2020	2020-07-06	B.1.1.25	1.00	20B	Bangladesh	Dhaka	20B	202028	MT755900	Homo sapiens	B.1.1.25	Older	Asia	Bangladesh Council of Scientific and Industrial Research, Genomic Research Lab	Akter et al				
BGD/NGRI-R2-O10/2020	2020-08-13	B.1.1.25	2.00	20B	Bangladesh	Bangladesh	20B	202033	OM967299	Homo sapiens	B.1.1.25	Older	Asia	North South University, NGRI	Hossain et al				
BGD/BSMMU-18/2020	2020-12-03	B.1.1.25	2.00	20B	Bangladesh	Bangladesh	20B	202049	MZ148607	Homo sapiens	B.1.1.25	Older	Asia	Bangabandhu Sheikh Mujib Medical University, Department of Virology	Jahan et al				
LR992112	2020-09-04	B.1.1	1.00	20B	Italy	Apulia	20B	202036	LR992112	Homo sapiens	B.1.1.229	Older	Europe	UNIVERSITY OF MILAN. DEPT. OF BIOSCIENCES, Via Celoria 26	Chiara et al	Istituto Zooprofilattico Sperimentale Puglia e Basilicata; Dipartimento di Bioscienze, Biotecnologie e Biofarmaceutica dell’Università degli Studi di Bari “A.Moro”; Istituto di Biomembrane. Bioenergetica e Biotecnologie Molecolari del Consiglio Nazionale delle Ricerche di Bari			
GTM/UGA-3070985/2021	2021-04-21	B.1.1.368	2.00	20B	Guatemala	Guatemala	20B	202116	OP313903	Homo sapiens	B.1.1.368	Older	North America	Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center	Direct Submission et al				
IND/IITRnCoV47/2020	2020-10-20	B.1.1.216	1.00	20B	India	India	20B	202043	OR655351	Homo sapiens	B.1.1.216	Older	Asia	CSIR-Indian Institute of Toxicology Research, System Toxicology Group, FEST Division	Sharma et al				
IND/IITRnCoV46/2020	2020-09-07	B.1.1.216	1.00	20B	India	India	20B	202037	OR655350	Homo sapiens	B.1.1.216	Older	Asia	CSIR-Indian Institute of Toxicology Research, System Toxicology Group, FEST Division	Sharma et al				
RUS/RU-Sar-782/2021	2021-04-06	B.1.1.523	7.00	20B	Russia	Saratov	20B	202114	OK037172	Homo sapiens	B.1.1.523	Older	Europe	RARI, Mikrobiologie	Krasnov et al				
VEN/Bol4720/2021	2021-01-21	P.1	11.00	20J (Gamma)	Venezuela	Venezuela	20J	202103	MZ611957	Homo sapiens	P.1	Older	South America	IVIC, CMBC	Pujol et al				
VEN/Dtt24/2021	2021-04-18	P.1	10.00	20J (Gamma)	Venezuela	Venezuela	20J	202116	MZ611969	Homo sapiens	P.1	Older	South America	IVIC, CMBC	Pujol et al				
VEN/Mir6242/2021	2021-05-24	P.1	10.00	20J (Gamma)	Venezuela	Venezuela	20J	202121	MZ611965	Homo sapiens	P.1	Older	South America	IVIC, CMBC	Pujol et al				
GTM/UGA-25025332/2021	2021-05-24	P.1	11.00	20J (Gamma)	Guatemala	Guatemala	20J	202121	OP314043	Homo sapiens	P.1	Older	North America	Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center	Direct Submission et al				
BRA/PR-HF106/2021	2021-03-07	P.1	11.00	20J (Gamma)	Brazil	Paraná	20J	202110	MZ477748	Homo sapiens	P.1	Older	South America	FIOCRUZ Parana, Instituto Carlos Chagas - ICC	Oliveira et al				
PRY/202102955_91854/2021	2021-04-16	P.1	10.00	20J (Gamma)	Paraguay	Paraguay	20J	202115	ON017507	Homo sapiens	P.1	Older	South America	CDC, VSPB	Vazquez et al				
Peru/PE-LMA-UW21050362974/2021	2021-05-03	P.1	10.00	20J (Gamma)	Peru	Peru	20J	202118	OQ691085	Homo sapiens	P.1	Older	South America	University of Washington, Laboratory Medicine and Pathology	Roychoudhury et al				
DOM/3002833757_760563/2021	2021-05-21	P.1	11.00	20J (Gamma)	Dominican Republic	Dominican Republic	20J	202120	ON017707	Homo sapiens	P.1	Older	North America	CDC, VSPB	Miguel et al				
HTI/Haiti-4-11/2021	2021-06-17	P.1	10.00	20J (Gamma)	Haiti	Haiti	20J	202124	PP667426	Homo sapiens	P.1	Older	North America	University of Florida, Department of Pathology, Immunology, and Laboratory Medicine	Mavian et al				
PRY/WOR12903A801_202103384_202103384_2-4740049/2021	2021-06-16	P.1	10.00	20J (Gamma)	Paraguay	Paraguay	20J	202124	ON017267	Homo sapiens	P.1	Older	South America	CDC, VSPB	Vazquez et al				
BRA/GO-NVBS2122GENOV700800068889/2021	2021-07-15	P.1	10.00	20J (Gamma)	Brazil	Brazil	20J	202128	ON576929	Homo sapiens	P.1	Older	South America	Dasa, R&D	Guarischi et al				
GTM/UGA-5057853/2021	2021-06-16	P.1	10.00	20J (Gamma)	Guatemala	Guatemala	20J	202124	OP314004	Homo sapiens	P.1	Older	North America	Center for Research on Influenza Pathogenesis (CRIP), CEIRS Data Processing and Coordinating Center	Direct Submission et al				
RUS/RUSPrimorye_3291/2020	2020-09-29	B.1.1	2.00	20B	Russia	Russia	20B	202040	OR883980	Homo sapiens	K.2	Older	Europe	Somov Institute of Epidemiology and Microbiology, Laboratory of respiratory Infections	Krylova et al				
RUS/RUSPrimorye_4206/2020	2020-11-18	B.1.1	2.00	20B	Russia	Russia	20B	202047	PP754084	Homo sapiens	B.1.1	Older	Europe	Somov Institute of Epidemiology and Microbiology, Laboratory of viral respiratory Infections	Krylova et al				
CHN/SH-P163-3-Europe-Russia/2020	2020-04-15	B.1.1	1.00	20B	China	China	20B	202016	OR240629	Homo sapiens	B.1.1	Older	Asia	Fudan University, School of life sciense	Lv et al				
USA/FL-BPHL-2164/2020	2020-06-12	B.1.1	1.00	20B	USA	Florida	20B	202024	MW286582	Homo sapiens	B.1.1.77	Older	North America	FLDOH, BPHL	Schmedes et al	Florida Bureau of Public Health Laboratories			
CHN/LA-5043/2021	2021-05-13	B.1.1.317	1.00	20B	China	Anhui	20B	202119	OQ586439	Homo sapiens	B.1.1.317	Older	Asia	Lu`an Municipal Center for Disease Control and Prevention, Microbiological Laboratory	Yang et al				
MEX/CMX-523/2021	2021-01-31	B.1.1.519	3.00	20B	Mexico	Mexico	20B	202105	OK435413	Homo sapiens	B.1.1.519	Older	North America	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Taboada et al				
CHN/SH-P188-4-North-America-Mexico/2020	2020-07-15	B.1.1	1.00	20B	China	China	20B	202029	OR240654	Homo sapiens	B.1.1.222	Older	Asia	Fudan University, School of life sciense	Lv et al				
CHN/SH-P174-4-Asia-UAE/2020	2020-05-04	B.1.1	1.00	20B	China	China	20B	202019	OR240640	Homo sapiens	B.1.1	Older	Asia	Fudan University, School of life sciense	Lv et al				
GHA/WACCBIP_nCoV_GS03/2020	2020-07-20	B.1.1.359	1.00	20B	Ghana	Ghana	20B	202030	MW523388	Homo sapiens	B.1.1.359	Older	Africa	WACCBIP, University of Ghana, Department of Biochemistry, Cell and Molecular Biology	Ngoi et al				
PHL/COVID-4650/2020	2020-07-10	B.1.1	1.00	20B	Philippines	Manila	20B	202028	MT919779	Homo sapiens	B.1.1	Older	Asia	AFRIMS, VIROLOGY	Velasco et al				
PHL/COVID-3353/2020	2020-06-26	B.1.1	1.00	20B	Philippines	Manila	20B	202026	MT919770	Homo sapiens	B.1.1	Older	Asia	AFRIMS, VIROLOGY	Velasco et al				
CHN/SH-P179-4-Asia-India/2020	2020-06-21	B.1.1.101	1.00	20B	China	China	20B	202026	OR240645	Homo sapiens	B.1.1.101	Older	Asia	Fudan University, School of life sciense	Lv et al				
GIN/C3/2020	2020-06-14	B.1.1	1.00	20B	Guinea	Guinea	20B	202025	MZ604340	Homo sapiens	B.1.1	Older	Africa	"Russian Research Anti-plague Institute ""Microbe"", Microbiology"	Krasnov et al				
ROU/BUCHAREST-IMT-1/2020	2020-07-20	B.1.1	1.00	20B	Romania	Romania	20B	202030	MW255830	Homo sapiens	B.1.1	Older	Europe	INCD IMT-Bucuresti (National Institute for Research and Development in Microtechnologies - Bucharest), Centre of Nanotechnologies	Salceanu et al				
OU471401	2020-07-07	B.1.1.47	1.00	20B	Italy	Friuli Venezia Giulia	20B	202028	OU471401	Homo sapiens	B.1.1.47	Older	Europe	Federica Bazzocchi, AREA SCIENCE PARK, Padriciano Trieste	Bazzocchi et al	ARGO Open Lab Platform for Genome Sequencing			
CHN/Qingdao_20396/2020	2020-10-11	B.1.1	1.00	20B	China	China	20B	202042	MW142554	Homo sapiens	B.1.1	Older	Asia	Shandong Provincial Centers for Disease Control and Prevention, Prevention and Control of Viral Infectious Diseases	Jiang et al				
CHN/Qingdao_20436/2020	2020-10-11	B.1.1	1.00	20B	China	China	20B	202042	MW142552	Homo sapiens	B.1.1	Older	Asia	Shandong Provincial Centers for Disease Control and Prevention, Prevention and Control of Viral Infectious Diseases	Jiang et al				
CHN/Qingdao_QD1/2020	2020-09-28	B.1.1	1.00	20B	China	China	20B	202040	MW142563	Homo sapiens	B.1.1	Older	Asia	Shandong Provincial Centers for Disease Control and Prevention, Prevention and Control of Viral Infectious Diseases	Jiang et al				
CHN/Qingdao_20425/2020	2020-10-11	B.1.1	1.00	20B	China	China	20B	202042	MW142558	Homo sapiens	B.1.1	Older	Asia	Shandong Provincial Centers for Disease Control and Prevention, Prevention and Control of Viral Infectious Diseases	Jiang et al				
CHN/Qingdao_20437/2020	2020-10-11	B.1.1	1.00	20B	China	China	20B	202042	MW142555	Homo sapiens	B.1.1	Older	Asia	Shandong Provincial Centers for Disease Control and Prevention, Prevention and Control of Viral Infectious Diseases	Jiang et al				
CHN/SH-P198-4-Asia-Philippines/2020	2020-08-12	B.1.1.135	2.00	20B	China	China	20B	202033	OR240666	Homo sapiens	B.1.1.135	Older	Asia	Fudan University, School of life sciense	Lv et al				
GHA/WACCBIP_nCoV_GS16/2020	2020-08-31	B.1.1	1.00	20B	Ghana	Ghana	20B	202036	MW523401	Homo sapiens	B.1.1	Older	Africa	WACCBIP, University of Ghana, Department of Biochemistry, Cell and Molecular Biology	Ngoi et al				
UZB/hCoV-19-Uzb-CGB-04/2020	2020-10-14	B.1.1	1.00	20B	Uzbekistan	Tashkent	20B	202042	MW853561	Homo sapiens	B.1.1	Older	Asia	Center of Genomics and bioinformatics, Bioinformatics laboratory	Ayubov et al				
NGA/CV626/2020	2020-11-24	B.1.1	4.00	20B	Nigeria	Nigeria	20B	202048	OQ050643	Homo sapiens	B.1.1.487	Older	Africa	Redeemer's University, Biological Sciences	Olawoye et al				
RUS/210129-59/2021	2021-01-16	B.1.1	2.00	20B	Russia	Russia	20B	202102	OL989070	Homo sapiens	B.1.1.189	Older	Europe	Nanjing Municipal Center for Disease Control and Prevention, Microbiology Laboratory	Zhao et al				
GHA/AA-NYGC-M915-UOVH788/2021	2021-04-30	B.1.1.318	5.00	20B	Ghana	Greater Accra	20B	202117	PQ791662	Homo sapiens	B.1.1.318	Older	Africa	COVID-19 Genomics Research Network NYGC Submitters, COVID-19 Genomics Research Network	Zody et al	University of Ghana			
GHA/AA-NYGC-GenCov-21-R14-QXCV650/2021	2021-06-10	B.1.1.318	5.00	20B	Ghana	Greater Accra	20B	202123	PQ791655	Homo sapiens	B.1.1.318	Older	Africa	COVID-19 Genomics Research Network NYGC Submitters, COVID-19 Genomics Research Network	Zody et al	University of Ghana			
IRQ/Samawa-3/2020	2020-12-27	B.1.1.7	6.00	20I (Alpha)	Iraq	Iraq	20I	202053	MZ145318	Homo sapiens	B.1.1.7	Older	Asia	Al Muthanna University, Biology /College of Science	Al-Rashedi et al				
PHL/PH-PGC-02826/2021	2021-01-21	B.1.1.7	6.00	20I (Alpha)	Philippines	Philippines	20I	202103	MW735436	Homo sapiens	B.1.1.7	Older	Asia	Philippine Genome Center, Core Facility for Bioinformatics	Tablizo et al				
MDA/ICGEB_796301_S1/2021	2021-04-24	B.1.1.7	6.00	20I (Alpha)	Moldova	Moldova	20I	202116	OP783427	Homo sapiens	B.1.1.7	Older	Europe	International Centre for Genetic Engineering and Biotechnology (ICGEB) and ARGO Open Lab Platform, AREA Science Park	Ulinici et al				
PHL/PH-PGC-00401/2020	2020-12-10	B.1.1.7	6.00	20I (Alpha)	Philippines	Philippines	20I	202050	MW735409	Homo sapiens	B.1.1.7	Older	Asia	Philippine Genome Center, Core Facility for Bioinformatics	Tablizo et al				
IND/GBRC522a/2020	2020-11-27	B.1.1.7	5.00	20I (Alpha)	India	India	20I	202048	MZ268634	Homo sapiens	B.1.1.7	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Saiyed et al				
CAN/UKVar1/2021	2021-01-11	B.1.1.7	8.00	20I (Alpha)	Canada	Canada	20I	202102	OQ781006	Homo sapiens	B.1.1.7	Older	North America	VIDO, Univ. of Saskatchewan, VIDO	Di et al				
BGD/G039392/2021	2021-01-06	B.1.1.7	6.00	20I (Alpha)	Bangladesh	Bangladesh	20I	202101	MW531680	Homo sapiens	B.1.1.7	Older	Asia	icddr, b, Virology	Hossain et al				
USA/MA-CDC-ASC210053631/2021	2021-04-09	B.1.1.7	6.00	20I (Alpha)	USA	Massachusetts	20I	202114	MZ210224	Homo sapiens	B.1.1.7	Older	North America	Centers for Disease Control and Prevention, Respiratory Viruses Branch	Howard et al	Aegis Sciences Corporation			
PHL/COVID52511/2021	2021-03-18	B.1.1.7	6.00	20I (Alpha)	Philippines	Manila	20I	202111	MZ068152	Homo sapiens	B.1.1.7	Older	Asia	AFRIMS, VIROLOGY	Velasco et al				
PHL/PH-PGC-02732/2021	2021-01-17	B.1.1.7	7.00	20I (Alpha)	Philippines	Philippines	20I	202103	MW735429	Homo sapiens	B.1.1.7	Older	Asia	Philippine Genome Center, Core Facility for Bioinformatics	Tablizo et al				
JOR/SEARCH-5776-JOR/2021	2021-01-04	B.1.1.7	6.00	20I (Alpha)	Jordan	Jordan	20I	202101	PP046379	Homo sapiens	B.1.1.7	Older	Asia	The Scripps Research Institute, Immunology and Microbiology	Andersen et al				
SOM/NAMRU3_Mog_10/2021	2021-04-04	B.1.1.7	6.00	20I (Alpha)	Somalia	Benadir	20I	202114	MZ394629	Homo sapiens	B.1.1.7	Older	Africa	Naval Medical Research Center, Biological Defense Research Directorate, Genomics and Bioinformatics Department	Arnold et al				
SOM/NAMRU3_Mog_18/2021	2021-02-28	B.1.1.7	6.00	20I (Alpha)	Somalia	Somalia	20I	202109	MZ520071	Homo sapiens	B.1.1.7	Older	Africa	Naval Medical Research Center, Biological Defense Research Directorate, Genomics and Bioinformatics Department	Arnold et al				
PAK/JRCGR_SCV-95_MARDAN-06/2021	2021-03-09	B.1.1.7	6.00	20I (Alpha)	Pakistan	Pakistan	20I	202110	MZ328041	Homo sapiens	B.1.1.7	Older	Asia	Dr. Panjwani Center for Molecular Medicine and Drug Research, International Center for Chemical and Biological Sciences, University of Karachi, Jamil-ur-Rahman Center for Genome Research	Irfan et al				
Pakistan/UHS-PAK-S67/2021	2021-04-10	B.1.1.7	6.00	20I (Alpha)	Pakistan	Guranwala	20I	202114	OU207320	Homo sapiens	B.1.1.7	Older	Asia	Quadram Institute Bioscience, Quadram Institute Bioscience, Norwich Research Park, Norwich NR4 7UQ	Alikhan et al	University of Health Sciences			
Pakistan/UHS2-Pak-10/2021	2021-05-01	B.1.1.7	6.00	20I (Alpha)	Pakistan	Pakistan	20I	202117	OU607096	Homo sapiens	B.1.1.7	Older	Asia	Quadram Institute Bioscience, Quadram Institute Bioscience, Norwich Research Park, Norwich NR4 7UQ	Tiwari et al	University of Health Sciences			
FRA/21062100302/2021	2021-06-07	B.1.1.7	7.00	20I (Alpha)	France	France	20I	202123	PQ974285	Homo sapiens	B.1.1.7	Older	Europe	APHP, Plateforme GenoBioMICS	Jimenez-Aray et al				
GHA/nmimr-SARS-CoV-2-NTRA-21-32121/2021	2021-02-19	B.1.1.7	6.00	20I (Alpha)	Ghana	Ghana	20I	202107	MZ350116	Homo sapiens	B.1.1.7	Older	Africa	Noguchi Memorial Institute for Medical Research, University of Ghana, Immunology	Adu et al				
NGA/BCVL-23000/2021	2021-02-05	B.1.1.7	6.00	20I (Alpha)	Nigeria	Oyo State	20I	202105	OL601748	Homo sapiens	B.1.1.7	Older	Africa	Northwestern University Feinberg School of Medicine, Medicine	Lorenzo-Redondo et al				
USA/NMDOH-2021129189/2021	2021-06-08	B.1.1.7	6.00	20I (Alpha)	USA	New Mexico	20I	202123	MZ509260	Homo sapiens	B.1.1.7	Older	North America	New Mexico Department of Health Scientific Laboratory, Molecular Biology	Johnson et al	New Mexico Department of Health Scientific Laboratory			
BGD/ideSHi-ESP003/2021	2021-03-25	B.1.1.7	7.00	20I (Alpha)	Bangladesh	Dhaka	20I	202112	MZ413984	Homo sapiens	B.1.1.7	Older	Asia	International Center for Diarrhoeal Disease Research, Bangladesh, Mucosal Immunology and Vaccinology	Afrad et al				
OX005890	2020-12-07	B.1.1.7	6.00	20I (Alpha)	Germany	North Rhine Westphalia	20I	202050	OX005890	Homo sapiens	B.1.1.7	Older	Europe	ROBERT KOCH-INSTITUTE, Bioinformatics Core Facility, Seestr. 10, D-13353 Berlin	Trappe et al	Labor Dr. Wisplinghoff - Koeln			
KHM/B117/2021	2021-03-16	B.1.1.7	6.00	20I (Alpha)	Cambodia	Cambodia	20I	202111	MZ361696	Homo sapiens	B.1.1.7	Older	Asia	Characterization of febrile disease landscape in Cambodia via metagenomic pathogen sequencing, LMVR	Bohl et al				
PHL/COVID51005/2021	2021-03-12	B.1.1.7	8.00	20I (Alpha)	Philippines	Manila	20I	202110	MZ068151	Homo sapiens	B.1.1.7	Older	Asia	AFRIMS, VIROLOGY	Velasco et al				
LBN/Lebanon5-B.1.1.7/2020	2020-12-28	B.1.1.7	6.00	20I (Alpha)	Lebanon	Lebanon	20I	202053	MW692116	Homo sapiens	B.1.1.7	Older	Asia	Public Health England and Lebanese University, Laboratory of Molecular Biology and Cancer Immunology	abdel sater et al				
IND/INSACOG-GBRC1401/2021	2021-03-25	B.1.1.7	6.00	20I (Alpha)	India	India	20I	202112	OM846635	Homo sapiens	B.1.1.7	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Saiyed et al				
IND/GBRC464/2021	2021-02-25	B.1.1.7	6.00	20I (Alpha)	India	India	20I	202108	MZ254774	Homo sapiens	B.1.1.7	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Kinariwala et al				
MEX/VER_1010/2021	2021-04-08	B.1.1.7	6.00	20I (Alpha)	Mexico	Mexico	20I	202114	OL461639	Homo sapiens	B.1.1.7	Older	North America	Instituto de Biotecnologia, Genetica del Desarrollo y Fisiologia Molecular	Zarate et al				
IND/GBRC592b/2021	2021-02-19	B.1.1.7	6.00	20I (Alpha)	India	India	20I	202107	MZ317918	Homo sapiens	B.1.1.7	Older	Asia	Gujarat Biotechnology Research Centre, Department of Science and Technology	Savaliya et al				
